"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30210","Read Data From JAson File","firefox","Mon Mar 31 13:31:32 IST 2025","broken","Mon Mar 31 13:32:03 IST 2025","","Readdatajson.spec.js","",""
"","30068","Auto Generated Code","webkit","Mon Mar 31 13:32:42 IST 2025","broken","Mon Mar 31 13:33:12 IST 2025","","codegen.spec.js","",""
"","17439","Auto Generated Code","firefox","Mon Mar 31 13:30:43 IST 2025","passed","Mon Mar 31 13:31:00 IST 2025","","codegen.spec.js","",""
"","4119","Handle Alert Message","webkit","Mon Mar 31 13:32:23 IST 2025","passed","Mon Mar 31 13:32:27 IST 2025","","alert.spec.js","",""
"","524","My First Test","firefox","Mon Mar 31 13:31:42 IST 2025","passed","Mon Mar 31 13:31:42 IST 2025","","sample.spec.js","",""
"","12403","Mouse Hover","firefox","Mon Mar 31 13:31:30 IST 2025","passed","Mon Mar 31 13:31:42 IST 2025","","Mousehover.spec.js","",""
"","30279","Verify Error Message","chromium","Mon Mar 31 13:29:51 IST 2025","broken","Mon Mar 31 13:30:21 IST 2025","","VerifyErrorMessage.spec.js","",""
"","11244","Valid Login","firefox","Mon Mar 31 13:30:46 IST 2025","passed","Mon Mar 31 13:30:57 IST 2025","","dropdown.spec.js","",""
"","5651","File Uploade","webkit","Mon Mar 31 13:32:43 IST 2025","failed","Mon Mar 31 13:32:49 IST 2025","","Fileupload.spec.js","",""
"","30076","Wait For Load State","webkit","Mon Mar 31 13:33:58 IST 2025","broken","Mon Mar 31 13:34:28 IST 2025","","waitforloadstate.spec.js","",""
"","3499","auto suggestion keyboard","chromium","Mon Mar 31 13:28:58 IST 2025","passed","Mon Mar 31 13:29:01 IST 2025","","autosuggest.spec.js","",""
"","11948","Mouse Hover","webkit","Mon Mar 31 13:33:14 IST 2025","passed","Mon Mar 31 13:33:26 IST 2025","","Mousehover.spec.js","",""
"","1","My Second Test","webkit","Mon Mar 31 13:33:34 IST 2025","skipped","Mon Mar 31 13:33:34 IST 2025","","sample.spec.js","",""
"","5814","Handle Alert Message","firefox","Mon Mar 31 13:30:23 IST 2025","passed","Mon Mar 31 13:30:29 IST 2025","","alert.spec.js","",""
"","101","My Fourth Test","chromium","Mon Mar 31 13:29:46 IST 2025","passed","Mon Mar 31 13:29:47 IST 2025","","sample.spec.js","",""
"","30415","Wait For Load State","chromium","Mon Mar 31 13:30:13 IST 2025","broken","Mon Mar 31 13:30:43 IST 2025","","waitforloadstate.spec.js","",""
"","240","My Fourth Test","webkit","Mon Mar 31 13:33:34 IST 2025","passed","Mon Mar 31 13:33:34 IST 2025","","sample.spec.js","",""
"","3969","Handle Confirm Message","chromium","Mon Mar 31 13:28:53 IST 2025","passed","Mon Mar 31 13:28:57 IST 2025","","alert.spec.js","",""
"","2098","Valid Login","webkit","Mon Mar 31 13:32:41 IST 2025","passed","Mon Mar 31 13:32:43 IST 2025","","dropdown.spec.js","",""
"","30080","Verify Error Message","webkit","Mon Mar 31 13:33:41 IST 2025","broken","Mon Mar 31 13:34:11 IST 2025","","VerifyErrorMessage.spec.js","",""
"","552","My Third Test","firefox","Mon Mar 31 13:31:43 IST 2025","passed","Mon Mar 31 13:31:43 IST 2025","","sample.spec.js","",""
"","3334","Handle IFrame","webkit","Mon Mar 31 13:32:53 IST 2025","passed","Mon Mar 31 13:32:57 IST 2025","","iframe.spec.js","",""
"","4706","File Uploade","webkit","Mon Mar 31 13:32:57 IST 2025","passed","Mon Mar 31 13:33:01 IST 2025","","keyboardevent.spec.js","",""
"","21655","Valid Login","firefox","Mon Mar 31 13:31:11 IST 2025","passed","Mon Mar 31 13:31:32 IST 2025","","login.spec.js","",""
